pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_vbid_group_id	pbp_b3_bendesc_yn	pbp_b3_bendesc_ehc	pbp_b3_bendesc_amo_crs	pbp_b3_bendesc_lim_crs	pbp_b3_bendesc_numv_crs	pbp_b3_bendesc_per_crs	pbp_b3_bendesc_per_crs_d	pbp_b3_bendesc_amo_icrs	pbp_b3_bendesc_lim_icrs	pbp_b3_bendesc_numv_icrs	pbp_b3_bendesc_per_icrs	pbp_b3_bendesc_per_icrs_d	pbp_b3_bendesc_amo_prs	pbp_b3_bendesc_lim_prs	pbp_b3_bendesc_numv_prs	pbp_b3_bendesc_per_prs	pbp_b3_bendesc_per_prs_d	pbp_b3_bendesc_amo_setpad	pbp_b3_bendesc_lim_setpad	pbp_b3_bendesc_numv_setpad	pbp_b3_bendesc_per_setpad	pbp_b3_bendesc_per_setpad_d	pbp_b3_coins_yn	pbp_b3_coins_ehc	pbp_b3_coins_pct_min_crs	pbp_b3_coins_pct_max_crs	pbp_b3_coins_pct_min_icrs	pbp_b3_coins_pct_max_icrs	pbp_b3_coins_pct_min_prs	pbp_b3_coins_pct_max_prs	pbp_b3_coins_pct_min_setpad	pbp_b3_coins_pct_max_setpad	pbp_b3_copay_yn	pbp_b3_copay_ehc	pbp_b3_copay_amt_min_crs	pbp_b3_copay_amt_max_crs	pbp_b3_copay_amt_min_icrs	pbp_b3_copay_amt_max_icrs	pbp_b3_copay_amt_min_prs	pbp_b3_copay_amt_max_prs	pbp_b3_copay_amt_min_setpad	pbp_b3_copay_amt_max_setpad	pbp_b3_auth_yn	pbp_b3_refer_yn
H3152	804	0	1	01	01	H3152_804_0	1	2	1	1111	2	1				2	1				2	1				2	1				2										2										2	2
H3192	801	0	1	01	01	H3192_801_0	1	2	1	1111	2	1				2	1				2	1				2	1				2										2										2	2
H3219	801	0	1	04	01	H3219_801_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H3288	801	0	1	04	01	H3288_801_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H3312	801	0	1	01	01	H3312_801_0	1	2	1	1111	2	1				2	1				2	1				2	1				2										2										2	2
H3312	804	0	1	01	01	H3312_804_0	1	2	1	1111	2	1				2	1				2	1				2	1				2										2										2	2
H3597	801	0	1	01	01	H3597_801_0	1	2	1	1111	2	1				2	1				2	1				2	1				2										2										2	2
H3597	802	0	1	01	01	H3597_802_0	1	2	1	1111	2	1				2	1				2	1				2	1				2										2										2	2
H3748	801	0	1	01	01	H3748_801_0	1	2	1	1111	2	1				2	1				2	1				2	1				2										2										2	2
H3928	801	0	1	01	01	H3928_801_0	1	2	1	1111	2	1				2	1				2	1				2	1				2										2										2	2
H3928	803	0	1	01	01	H3928_803_0	1	2	1	1111	2	1				2	1				2	1				2	1				2										2										2	2
H3931	801	0	1	01	01	H3931_801_0	1	2	1	1111	2	1				2	1				2	1				2	1				2										2										2	2
H3931	804	0	1	01	01	H3931_804_0	1	2	1	1111	2	1				2	1				2	1				2	1				2										2										2	2
H3959	804	0	1	01	01	H3959_804_0	1	2	1	1111	2	1				2	1				2	1				2	1				2										2										2	2
H4523	801	0	1	01	01	H4523_801_0	1	2	1	1111	2	1				2	1				2	1				2	1				2										2										2	2
H4523	802	0	1	01	01	H4523_802_0	1	2	1	1111	2	1				2	1				2	1				2	1				2										2										2	2
H4711	801	0	1	01	01	H4711_801_0	1	2	1	1111	2	1				2	1				2	1				2	1				2										2										2	2
H4835	801	0	1	01	01	H4835_801_0	1	2	1	1111	2	1				2	1				2	1				2	1				2										2										2	2
H4982	801	0	1	01	01	H4982_801_0	1	2	1	1111	2	1				2	1				2	1				2	1				2										2										2	2
H5302	809	0	1	01	01	H5302_809_0	1	2	1	1111	2	1				2	1				2	1				2	1				2										2										2	2
H5521	801	0	1	04	01	H5521_801_0	2	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H5521	805	0	2	04	01	H5521_805_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H5522	802	0	1	04	01	H5522_802_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H5522	803	0	1	04	01	H5522_803_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H5522	808	0	2	04	01	H5522_808_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H5522	809	0	2	04	01	H5522_809_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H5522	810	0	1	04	01	H5522_810_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H5522	811	0	1	04	01	H5522_811_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H5522	813	0	2	04	01	H5522_813_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H5522	814	0	2	04	01	H5522_814_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H5522	815	0	1	04	01	H5522_815_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H5522	816	0	1	04	01	H5522_816_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H5522	817	0	2	04	01	H5522_817_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H5522	818	0	2	04	01	H5522_818_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H5522	819	0	1	04	01	H5522_819_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H5522	820	0	1	04	01	H5522_820_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H5522	821	0	1	04	01	H5522_821_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H5522	822	0	2	04	01	H5522_822_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H5522	823	0	1	04	01	H5522_823_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H5522	824	0	2	04	01	H5522_824_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H5522	825	0	2	04	01	H5522_825_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H5522	827	0	2	04	01	H5522_827_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H5522	828	0	1	04	01	H5522_828_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H5522	832	0	1	04	01	H5522_832_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H5522	836	0	1	04	01	H5522_836_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
