pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_vbid_group_id	pbp_b7b_bendesc_yn	pbp_b7b_bendesc_ehc	pbp_b7b_bendesc_amo_rc	pbp_b7b_bendesc_lim_rc	pbp_b7b_bendesc_num_rc	pbp_b7b_bendesc_per_rc	pbp_b7b_bendesc_per_rc_d	pbp_b7b_addl_service_other	pbp_b7b_bendesc_amo_other	pbp_b7b_bendesc_lim_other	pbp_b7b_bendesc_num_other	pbp_b7b_bendesc_per_other	pbp_b7b_bendesc_per_other_d	pbp_b7b_maxplan_yn	pbp_b7b_maxplan_amt	pbp_b7b_maxplan_per	pbp_b7b_maxplan_per_d	pbp_b7b_coins_yn	pbp_b7b_coins_ehc	pbp_b7b_coins_pct_rc_min	pbp_b7b_coins_pct_rc_max	pbp_b7b_coins_pct_other_min	pbp_b7b_coins_pct_other_max	pbp_b7b_copay_yn	pbp_b7b_copay_ehc	pbp_b7b_copay_rc_amt_min	pbp_b7b_copay_rc_amt_max	pbp_b7b_copay_other_amt_min	pbp_b7b_copay_other_amt_max	pbp_b7b_auth_yn	pbp_b7b_refer_yn	pbp_b7f_bendesc_yn	pbp_b7f_bendesc_rf	pbp_b7f_bendesc_amo_rf	pbp_b7f_bendesc_lim_rf	pbp_b7f_bendesc_amt_rf	pbp_b7f_bendesc_per_rf	pbp_b7f_bendesc_per_rf_d	pbp_b7f_maxplan_yn	pbp_b7f_maxplan_amt	pbp_b7f_maxplan_per	pbp_b7f_maxplan_per_d	pbp_b7f_coins_yn	pbp_b7f_coins_ehc	pbp_b7f_coins_pct_rf_min	pbp_b7f_coins_pct_rf_max	pbp_b7f_copay_yn	pbp_b7f_copay_ehc	pbp_b7f_copay_rf_amt_min	pbp_b7f_copay_rf_amt_max	pbp_b7f_auth_yn	pbp_b7f_refer_yn
H3192	801	0	1	01	01	H3192_801_0	1	1	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H3192	801	0	1	01	01	H3192_801_0	1	2	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H3219	801	0	1	04	01	H3219_801_0	1	2	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				1	101	0	20	0	20	2						2	2	1	1	2	1				2				1	10	0	20	2				2	2
H3219	801	0	1	04	01	H3219_801_0	1	1	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H3288	801	0	1	04	01	H3288_801_0	1	1	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H3288	801	0	1	04	01	H3288_801_0	1	2	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				1	101	0	20	0	20	2						2	2	1	1	2	1				2				1	10	0	20	2				2	2
H3312	801	0	1	01	01	H3312_801_0	1	1	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H3312	801	0	1	01	01	H3312_801_0	1	2	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H3312	804	0	1	01	01	H3312_804_0	1	2	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H3312	804	0	1	01	01	H3312_804_0	1	1	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H3597	801	0	1	01	01	H3597_801_0	1	1	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
