pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_vbid_group_id	pbp_b13i_bendesc_oth	pbp_b13i_o1_bendesc_service	pbp_b13i_o1_bendesc_amo	pbp_b13i_o1_maxplan_yn	pbp_b13i_o1_maxplan_amt	pbp_b13i_o1_maxplan_per	pbp_b13i_o1_maxplan_per_d	pbp_b13i_o1_maxenr_yn	pbp_b13i_o1_maxenr_amt	pbp_b13i_o1_maxenr_per	pbp_b13i_o1_maxenr_per_d	pbp_b13i_o1_coins_yn	pbp_b13i_o1_coins_pct_min	pbp_b13i_o1_coins_pct_max	pbp_b13i_o1_ded_yn	pbp_b13i_o1_ded_amt	pbp_b13i_o1_copay_yn	pbp_b13i_o1_copay_amt_min	pbp_b13i_o1_copay_amt_max	pbp_b13i_o1_auth_yn	pbp_b13i_o1_refer_yn	pbp_b13i_o2_bendesc_service	pbp_b13i_o2_bendesc_amo	pbp_b13i_o2_maxplan_yn	pbp_b13i_o2_maxplan_amt	pbp_b13i_o2_maxplan_per	pbp_b13i_o2_maxplan_per_d	pbp_b13i_o2_maxenr_yn	pbp_b13i_o2_maxenr_amt	pbp_b13i_o2_maxenr_per	pbp_b13i_o2_maxenr_per_d	pbp_b13i_o2_coins_yn	pbp_b13i_o2_coins_pct_min	pbp_b13i_o2_coins_pct_max	pbp_b13i_o2_ded_yn	pbp_b13i_o2_ded_amt	pbp_b13i_o2_copay_yn	pbp_b13i_o2_copay_amt_min	pbp_b13i_o2_copay_amt_max	pbp_b13i_o2_auth_yn	pbp_b13i_o2_refer_yn	pbp_b13i_o3_bendesc_service	pbp_b13i_o3_bendesc_amo	pbp_b13i_o3_maxplan_yn	pbp_b13i_o3_maxplan_amt	pbp_b13i_o3_maxplan_per	pbp_b13i_o3_maxplan_per_d	pbp_b13i_o3_maxenr_yn	pbp_b13i_o3_maxenr_amt	pbp_b13i_o3_maxenr_per	pbp_b13i_o3_maxenr_per_d	pbp_b13i_o3_coins_yn	pbp_b13i_o3_coins_pct_min	pbp_b13i_o3_coins_pct_max	pbp_b13i_o3_ded_yn	pbp_b13i_o3_ded_amt	pbp_b13i_o3_copay_yn	pbp_b13i_o3_copay_amt_min	pbp_b13i_o3_copay_amt_max	pbp_b13i_o3_auth_yn	pbp_b13i_o3_refer_yn	pbp_b13i_o4_bendesc_service	pbp_b13i_o4_bendesc_amo	pbp_b13i_o4_maxplan_yn	pbp_b13i_o4_maxplan_amt	pbp_b13i_o4_maxplan_per	pbp_b13i_o4_maxplan_per_d	pbp_b13i_o4_maxenr_yn	pbp_b13i_o4_maxenr_amt	pbp_b13i_o4_maxenr_per	pbp_b13i_o4_maxenr_per_d	pbp_b13i_o4_coins_yn	pbp_b13i_o4_coins_pct_min	pbp_b13i_o4_coins_pct_max	pbp_b13i_o4_ded_yn	pbp_b13i_o4_ded_amt	pbp_b13i_o4_copay_yn	pbp_b13i_o4_copay_amt_min	pbp_b13i_o4_copay_amt_max	pbp_b13i_o4_auth_yn	pbp_b13i_o4_refer_yn	pbp_b13i_o5_bendesc_service	pbp_b13i_o5_bendesc_amo	pbp_b13i_o5_maxplan_yn	pbp_b13i_o5_maxplan_amt	pbp_b13i_o5_maxplan_per	pbp_b13i_o5_maxplan_per_d	pbp_b13i_o5_maxenr_yn	pbp_b13i_o5_maxenr_amt	pbp_b13i_o5_maxenr_per	pbp_b13i_o5_maxenr_per_d	pbp_b13i_o5_coins_yn	pbp_b13i_o5_coins_pct_min	pbp_b13i_o5_coins_pct_max	pbp_b13i_o5_ded_yn	pbp_b13i_o5_ded_amt	pbp_b13i_o5_copay_yn	pbp_b13i_o5_copay_amt_min	pbp_b13i_o5_copay_amt_max	pbp_b13i_o5_auth_yn	pbp_b13i_o5_refer_yn
H0982	016	0	1	01	01	H0982_016_0	9	1	01000	Pet Supplies	2	2				2				2			2		2			1	2																																																																																
H0982	017	0	1	01	01	H0982_017_0	9	1	01000	Pet Supplies	2	2				2				2			2		2			1	2																																																																																
H0982	018	0	1	01	01	H0982_018_0	9	1	01000	Pet Supplies	2	2				2				2			2		2			1	2																																																																																
H0982	019	0	1	01	01	H0982_019_0	9	1	01000	Pet Supplies	2	2				2				2			2		2			1	2																																																																																
H0982	020	0	1	01	01	H0982_020_0	9	1	01000	Pet Supplies	2	2				2				2			2		2			1	2																																																																																
H0982	021	0	1	01	01	H0982_021_0	9	1	01000	Pet Supplies	2	2				2				2			2		2			1	2																																																																																
H0982	022	0	1	01	01	H0982_022_0	9	1	01000	Pet Supplies	2	2				2				2			2		2			1	2																																																																																
H0982	023	0	1	01	01	H0982_023_0	10	1	01000	Pet Supplies	2	2				2				2			2		2			1	2																																																																																
H0982	024	0	1	01	01	H0982_024_0	9	1	01000	Pet Supplies	2	2				2				2			2		2			1	2																																																																																
H0982	025	0	1	01	01	H0982_025_0	10	1	01000	Pet Supplies	2	2				2				2			2		2			1	2																																																																																
H0982	026	0	1	01	01	H0982_026_0	9	1	01000	Pet Supplies	2	2				2				2			2		2			1	2																																																																																
H0982	027	0	1	01	01	H0982_027_0	9	1	01000	Pet Supplies	2	2				2				2			2		2			1	2																																																																																
H0982	028	0	1	01	01	H0982_028_0	9	1	01000	Pet Supplies	2	2				2				2			2		2			1	2																																																																																
H0982	030	0	1	01	01	H0982_030_0	9	1	01000	Pet Supplies	2	2				2				2			2		2			1	2																																																																																
H0982	031	0	1	01	01	H0982_031_0	9	1	01000	Pet Supplies	2	2				2				2			2		2			1	2																																																																																
H0982	032	0	1	01	01	H0982_032_0	9	1	01000	Pet Supplies	2	2				2				2			2		2			1	2																																																																																
H0982	033	0	1	01	01	H0982_033_0	9	1	01000	Pet Supplies	2	2				2				2			2		2			1	2																																																																																
H1109	801	0	1	01	01	H1109_801_0	1	1	01000	Non-Medicare (Other)	2	2				2				2			2		2			2	2																																																																																
H1109	802	0	1	01	01	H1109_802_0	1	1	01000	Non-Medicare (Other)	2	2				2				2			2		2			2	2																																																																																
H1206	004	0	1	01	01	H1206_004_0	2	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1206	009	0	1	01	01	H1206_009_0	2	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1206	801	0	1	01	01	H1206_801_0	1	1	01000	Non-Medicare (Other)	2	2				2				2			2		2			2	2																																																																																
H1608	021	0	1	04	01	H1608_021_0	2	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1608	027	0	1	04	01	H1608_027_0	2	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1608	062	0	1	04	01	H1608_062_0	2	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1608	076	0	1	04	01	H1608_076_0	2	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1608	077	0	1	04	01	H1608_077_0	2	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1608	121	0	1	04	01	H1608_121_0	2	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1608	801	0	1	04	01	H1608_801_0	1	1	01000	Non-Medicare (Other)	2	2				2				2			2		2			2	2																																																																																
H1609	017	0	1	01	01	H1609_017_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	019	0	1	01	01	H1609_019_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
