pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_vbid_group_id	pbp_b18a_bendesc_yn	pbp_b18a_bendesc_ehc	pbp_b18a_bendesc_amo_rht	pbp_b18a_bendesc_lim_rht	pbp_b18a_bendesc_numv_cl	pbp_b18a_bendesc_per_rht	pbp_b18a_bendesc_per_rht_d	pbp_b18a_bendesc_amo_fha	pbp_b18a_bendesc_lim_fha	pbp_b18a_bendesc_numv_fha	pbp_b18a_bendesc_per_fha	pbp_b18a_bendesc_per_fha_d	pbp_b18a_maxplan_yn	pbp_b18a_maxplan_in_oon	pbp_b18a_maxplan_amt	pbp_b18a_maxplan_per	pbp_b18a_maxplan_per_d	pbp_b18a_ded_nmc_yn	pbp_b18a_ded_nmc_amt	pbp_b18a_coins_yn	pbp_b18a_coins_ehc	pbp_b18a_coins_pct_rht	pbp_b18a_coins_pct_max_rht	pbp_b18a_coins_pct_fha	pbp_b18a_coins_pct_max_fha	pbp_b18a_copay_yn	pbp_b18a_copay_ehc	pbp_b18a_copay_amt_rht	pbp_b18a_copay_amt_max_rht	pbp_b18a_copay_amt_fha	pbp_b18a_copay_amt_max_fha	pbp_b18a_auth_yn	pbp_b18a_refer_yn	pbp_b18b_bendesc_yn	pbp_b18b_bendesc_ehc	pbp_b18b_bendesc_amo_at	pbp_b18b_bendesc_lim_at	pbp_b18b_bendesc_numv_at	pbp_b18b_bendesc_per_at	pbp_b18b_bendesc_per_at_d	pbp_b18b_bendesc_amo_ie	pbp_b18b_bendesc_lim_ie	pbp_b18b_bendesc_numv_ie	pbp_b18b_bendesc_per_ie	pbp_b18b_bendesc_per_ie_d	pbp_b18b_bendesc_amo_oe	pbp_b18b_bendesc_lim_oe	pbp_b18b_bendesc_numv_oe	pbp_b18b_bendesc_per_oe	pbp_b18b_bendesc_per_oe_d	pbp_b18b_bendesc_amo_ote	pbp_b18b_bendesc_lim_ote	pbp_b18b_bendesc_numv_ote	pbp_b18b_bendesc_per_ote	pbp_b18b_bendesc_per_ote_d	pbp_b18b_maxplan_yn	pbp_b18b_maxplan_perear	pbp_b18b_maxplan_type	pbp_b18b_maxplan_in_oon	pbp_b18b_maxplan_amt	pbp_b18b_maxplan_per	pbp_b18b_maxplan_per_d	pbp_b18b_maxenr_yn	pbp_b18b_maxenr_type	pbp_b18b_maxenr_amt	pbp_b18b_maxenr_per	pbp_b18b_maxenr_per_d	pbp_b18b_coins_yn	pbp_b18b_coins_ehc	pbp_b18b_coins_pct_at_min	pbp_b18b_coins_pct_at_max	pbp_b18b_coins_pct_ie_min	pbp_b18b_coins_pct_ie_max	pbp_b18b_coins_pct_oe_min	pbp_b18b_coins_pct_oe_max	pbp_b18b_coins_pct_ote_min	pbp_b18b_coins_pct_ote_max	pbp_b18b_copay_yn	pbp_b18b_copay_ehc	pbp_b18b_copay_at_min_amt	pbp_b18b_copay_at_max_amt	pbp_b18b_copay_amt_per_ie_min	pbp_b18b_copay_amt_per_ie_max	pbp_b18b_copay_amt_p2_ie_min	pbp_b18b_copay_amt_p2_ie_max	pbp_b18b_copay_amt_per_oe_min	pbp_b18b_copay_amt_per_oe_max	pbp_b18b_copay_amt_p2_oe_min	pbp_b18b_copay_amt_p2_oe_max	pbp_b18b_copay_amt_per_ote_min	pbp_b18b_copay_amt_per_ote_max	pbp_b18b_copay_amt_p2_ote_min	pbp_b18b_copay_amt_p2_ote_max	pbp_b18b_ded_yn	pbp_b18b_ded_amt	pbp_b18b_auth_yn	pbp_b18b_refer_yn	pbp_b18c_bendesc_amo	pbp_b18c_maxplan_yn	pbp_b18c_maxplan_aid_type	pbp_b18c_maxplan_in_oon	pbp_b18c_maxplan_amt	pbp_b18c_maxplan_per	pbp_b18c_maxplan_per_desc	pbp_b18c_maxenr_yn	pbp_b18c_maxenr_amt	pbp_b18c_maxenr_per	pbp_b18c_maxenr_per_desc	pbp_b18c_ded_yn	pbp_b18c_ded_amt	pbp_b18c_bendesc_lim	pbp_b18c_bendesc_num	pbp_b18c_bendesc_per	pbp_b18c_bendesc_desc	pbp_b18c_coins_yn	pbp_b18c_coins_pct	pbp_b18c_coins_pct_min	pbp_b18c_coins_pct_max	pbp_b18c_copay_yn	pbp_b18c_copay_amt	pbp_b18c_copay_amt_min	pbp_b18c_copay_amt_max	pbp_b18c_auth_yn	pbp_b18c_refer_yn
H1036	230	0	1	01	01	H1036_230_0	4	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1036	285	0	1	01	01	H1036_285_0	5	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1036	301	0	1	01	01	H1036_301_0	3	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1036	302	0	1	01	01	H1036_302_0	4	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1036	304	0	1	01	01	H1036_304_0	5	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1036	314	0	1	01	01	H1036_314_0	5	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1036	315	0	1	01	01	H1036_315_0	4	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1036	316	0	1	01	01	H1036_316_0	4	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1036	336	0	1	01	01	H1036_336_0	3	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1036	337	0	1	01	01	H1036_337_0	4	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1036	338	0	1	01	01	H1036_338_0	3	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1036	339	0	1	01	01	H1036_339_0	3	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1036	340	0	1	01	01	H1036_340_0	3	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1036	341	0	1	01	01	H1036_341_0	3	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1109	801	0	1	01	01	H1109_801_0	1	1	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H1109	801	0	1	01	01	H1109_801_0	1	2	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H1109	802	0	1	01	01	H1109_802_0	1	1	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H1109	802	0	1	01	01	H1109_802_0	1	2	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H1206	801	0	1	01	01	H1206_801_0	1	1	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H1206	801	0	1	01	01	H1206_801_0	1	2	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H1608	801	0	1	04	01	H1608_801_0	1	2	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H1608	801	0	1	04	01	H1608_801_0	1	1	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H1609	801	0	1	01	01	H1609_801_0	1	2	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H1609	801	0	1	01	01	H1609_801_0	1	1	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H1609	807	0	1	01	01	H1609_807_0	1	2	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H1609	807	0	1	01	01	H1609_807_0	1	1	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H1692	801	0	1	01	01	H1692_801_0	1	1	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H1692	801	0	1	01	01	H1692_801_0	1	2	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H2056	801	0	1	01	01	H2056_801_0	1	1	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H2056	801	0	1	01	01	H2056_801_0	1	2	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
