pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	contract_id	plan_id	segment_id	pending_flag	partial_flag	contract_year	eghp_flag	region_type	ma_or_pdp_region_code	region
R5826	819	0	1	31	11	R5826_819_0	R5826	819	0	0		2026	0	MA	09	Florida
R5941	013	0	1	31	11	R5941_013_0	R5941	013	0	0		2026	0	MA	12	Ohio
R5941	014	0	1	31	11	R5941_014_0	R5941	014	0	0		2026	0	MA	12	Ohio
R5941	016	0	1	31	11	R5941_016_0	R5941	016	0	0		2026	0	MA	13	Indiana and Kentucky
R6694	006	0	1	31	11	R6694_006_0	R6694	006	0	0		2026	0	MA	04	New Jersey
R6801	008	0	1	31	11	R6801_008_0	R6801	008	0	0		2026	0	MA	17	Texas
R6801	009	0	1	31	11	R6801_009_0	R6801	009	0	0		2026	0	MA	17	Texas
R6801	011	0	1	31	11	R6801_011_0	R6801	011	0	0		2026	0	MA	17	Texas
R6801	012	0	1	31	11	R6801_012_0	R6801	012	0	0		2026	0	MA	17	Texas
R7220	001	0	1	31	11	R7220_001_0	R7220	001	0	0		2026	0	MA	21	Arizona
R7220	002	0	1	31	11	R7220_002_0	R7220	002	0	0		2026	0	MA	21	Arizona
R7220	801	0	1	31	11	R7220_801_0	R7220	801	0	0		2026	0	MA	21	Arizona
R7220	802	0	1	31	11	R7220_802_0	R7220	802	0	0		2026	0	MA	21	Arizona
R7444	808	0	1	31	11	R7444_808_0	R7444	808	0	0		2026	1	MA	02	Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	01	Northern New England (New Hampshire and Maine)
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	02	Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	03	New York
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	04	New Jersey
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	05	Mid-Atlantic (Delaware, District of Columbia and Maryland)
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	06	Pennsylvania, West Virginia
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	07	Virginia
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	08	North Carolina
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	09	South Carolina
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	10	Georgia
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	11	Florida
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	12	Alabama, Tennessee
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	13	Michigan
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	14	Ohio
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	15	Indiana, Kentucky
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	16	Wisconsin
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	17	Illinois
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	18	Missouri
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	19	Arkansas
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	20	Mississippi
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	21	Louisiana
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	22	Texas
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	23	Oklahoma
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	24	Kansas
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	25	Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	26	New Mexico
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	27	Colorado
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	28	Arizona
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	29	Nevada
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	30	Oregon, Washington
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	31	Idaho, Utah
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	32	California
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	33	Hawaii
S0262	830	0		29	10	S0262_830_0	S0262	830	0	0		2026	1	PD	34	Alaska
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	01	Northern New England (New Hampshire and Maine)
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	02	Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	03	New York
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	04	New Jersey
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	05	Mid-Atlantic (Delaware, District of Columbia and Maryland)
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	06	Pennsylvania, West Virginia
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	07	Virginia
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	08	North Carolina
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	09	South Carolina
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	10	Georgia
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	11	Florida
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	12	Alabama, Tennessee
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	13	Michigan
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	14	Ohio
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	15	Indiana, Kentucky
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	16	Wisconsin
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	17	Illinois
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	18	Missouri
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	19	Arkansas
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	20	Mississippi
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	21	Louisiana
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	22	Texas
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	23	Oklahoma
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	24	Kansas
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	25	Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	26	New Mexico
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	27	Colorado
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	28	Arizona
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	29	Nevada
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	30	Oregon, Washington
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	31	Idaho, Utah
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	32	California
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	33	Hawaii
S0262	832	0		29	10	S0262_832_0	S0262	832	0	0		2026	1	PD	34	Alaska
S0262	833	0		29	10	S0262_833_0	S0262	833	0	0		2026	1	PD	01	Northern New England (New Hampshire and Maine)
S0262	833	0		29	10	S0262_833_0	S0262	833	0	0		2026	1	PD	02	Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)
S0262	833	0		29	10	S0262_833_0	S0262	833	0	0		2026	1	PD	03	New York
S0262	833	0		29	10	S0262_833_0	S0262	833	0	0		2026	1	PD	04	New Jersey
S0262	833	0		29	10	S0262_833_0	S0262	833	0	0		2026	1	PD	05	Mid-Atlantic (Delaware, District of Columbia and Maryland)
S0262	833	0		29	10	S0262_833_0	S0262	833	0	0		2026	1	PD	06	Pennsylvania, West Virginia
S0262	833	0		29	10	S0262_833_0	S0262	833	0	0		2026	1	PD	07	Virginia
S0262	833	0		29	10	S0262_833_0	S0262	833	0	0		2026	1	PD	08	North Carolina
S0262	833	0		29	10	S0262_833_0	S0262	833	0	0		2026	1	PD	09	South Carolina
S0262	833	0		29	10	S0262_833_0	S0262	833	0	0		2026	1	PD	10	Georgia
S0262	833	0		29	10	S0262_833_0	S0262	833	0	0		2026	1	PD	11	Florida
S0262	833	0		29	10	S0262_833_0	S0262	833	0	0		2026	1	PD	12	Alabama, Tennessee
S0262	833	0		29	10	S0262_833_0	S0262	833	0	0		2026	1	PD	13	Michigan
S0262	833	0		29	10	S0262_833_0	S0262	833	0	0		2026	1	PD	14	Ohio
S0262	833	0		29	10	S0262_833_0	S0262	833	0	0		2026	1	PD	15	Indiana, Kentucky
S0262	833	0		29	10	S0262_833_0	S0262	833	0	0		2026	1	PD	16	Wisconsin
S0262	833	0		29	10	S0262_833_0	S0262	833	0	0		2026	1	PD	17	Illinois
S0262	833	0		29	10	S0262_833_0	S0262	833	0	0		2026	1	PD	18	Missouri
S0262	833	0		29	10	S0262_833_0	S0262	833	0	0		2026	1	PD	19	Arkansas
S0262	833	0		29	10	S0262_833_0	S0262	833	0	0		2026	1	PD	20	Mississippi
S0262	833	0		29	10	S0262_833_0	S0262	833	0	0		2026	1	PD	21	Louisiana
S0262	833	0		29	10	S0262_833_0	S0262	833	0	0		2026	1	PD	22	Texas
S0262	833	0		29	10	S0262_833_0	S0262	833	0	0		2026	1	PD	23	Oklahoma
