pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_d_opt_use_mand_17b_yn	pbp_d_opt_use_mand_17b1_yn	pbp_d_opt_use_mand_17b2_yn	pbp_d_opt_use_mand_17b3_yn	pbp_d_opt_use_mand_17b4_yn	pbp_d_opt_use_mand_17b5_yn	pbp_b17b_bendesc_yn	pbp_b17b_bendesc_ehc	pbp_b17b_bendesc_amo_cl	pbp_b17b_bendesc_lim_cl	pbp_b17b_bendesc_numv_cl	pbp_b17b_bendesc_per_cl	pbp_b17b_bendesc_per_cl_d	pbp_b17b_bendesc_amo_egs	pbp_b17b_bendesc_lim_egs	pbp_b17b_bendesc_numv_egs	pbp_b17b_bendesc_per_egs	pbp_b17b_bendesc_per_egs_d	pbp_b17b_bendesc_amo_egi	pbp_b17b_bendesc_lim_egl	pbp_b17b_bendesc_numv_egl	pbp_b17b_bendesc_per_egl	pbp_b17b_bendesc_per_egl_d	pbp_b17b_bendesc_amo_egf	pbp_b17b_bendesc_lim_egf	pbp_b17b_bendesc_numv_egf	pbp_b17b_bendesc_per_egf	pbp_b17b_bendesc_per_egf_d	pbp_b17b_bendesc_amo_upg	pbp_b17b_maxplan_yn	pbp_b17b_maxplan_in_oon	pbp_b17b_maxplan_type	pbp_b17b_comb_maxplan_yn	pbp_b17b_comb_maxplan_amt	pbp_b17b_comb_maxplan_per	pbp_b17b_comb_maxplan_per_d	pbp_b17b_indv_maxplan_bendesc	pbp_b17b_indv_maxplan_amt_cl	pbp_b17b_indv_maxplan_per_cl	pbp_b17b_indv_maxplan_per_cl_d	pbp_b17b_indv_maxplan_amt_egs	pbp_b17b_indv_maxplan_per_egs	pbp_b17b_ind_maxplan_per_egs_d	pbp_b17b_indv_maxplan_amt_egl	pbp_b17b_indv_maxplan_per_egl	pbp_b17b_ind_maxplan_per_egl_d	pbp_b17b_indv_maxplan_amt_egf	pbp_b17b_indv_maxplan_per_egf	pbp_b17b_ind_maxplan_per_egf_d	pbp_b17b_indv_maxplan_amt_upg	pbp_b17b_indv_maxplan_per_upg	pbp_b17b_ind_maxplan_per_upg_d	pbp_b17b_coins_yn	pbp_b17b_coins_ehc	pbp_b17b_coins_pct_cl_min	pbp_b17b_coins_pct_cl_max	pbp_b17b_coins_pct_egs_min	pbp_b17b_coins_pct_egs_max	pbp_b17b_coins_pct_egl_min	pbp_b17b_coins_pct_egl_max	pbp_b17b_coins_pct_egf_min	pbp_b17b_coins_pct_egf_max	pbp_b17b_coins_pct_upg_min	pbp_b17b_coins_pct_upg_max	pbp_b17b_ded_nmc_yn	pbp_b17b_ded_nmc_amt	pbp_b17b_copay_yn	pbp_b17b_copay_ehc	pbp_b17b_copay_amt_cl_min	pbp_b17b_copay_amt_cl_max	pbp_b17b_copay_amt_egs_min	pbp_b17b_copay_amt_egs_max	pbp_b17b_copay_amt_egl_min	pbp_b17b_copay_amt_egl_max	pbp_b17b_copay_amt_egf_min	pbp_b17b_copay_amt_egf_max	pbp_b17b_copay_amt_upg_min	pbp_b17b_copay_amt_upg_max	pbp_b17b_auth_yn	pbp_b17b_refer_yn	pbp_d_opt_identifier
H0524	060	0	1	01	01	H0524_060_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	061	0	1	01	01	H0524_061_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	062	0	1	01	01	H0524_062_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	063	0	1	01	01	H0524_063_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	064	0	1	01	01	H0524_064_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	065	0	1	01	01	H0524_065_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	078	0	1	01	01	H0524_078_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	081	0	1	01	01	H0524_081_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	082	0	1	01	01	H0524_082_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	083	0	1	01	01	H0524_083_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0544	002	0	1	02	01	H0544_002_0	4	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	150.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	001
H0544	002	0	1	02	01	H0544_002_0	4	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	002
H0544	004	0	1	02	01	H0544_004_0	4	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	150.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	001
H0544	004	0	1	02	01	H0544_004_0	4	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	002
H0544	005	0	1	01	01	H0544_005_0	6	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	150.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	001
H0544	005	0	1	01	01	H0544_005_0	6	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	002
H0544	010	0	1	02	01	H0544_010_0	4	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	150.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	001
H0544	010	0	1	02	01	H0544_010_0	4	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	002
H0544	014	0	1	02	01	H0544_014_0	4	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	150.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	001
H0544	014	0	1	02	01	H0544_014_0	4	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	002
H0544	015	0	1	02	01	H0544_015_0	4	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	150.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	001
H0544	015	0	1	02	01	H0544_015_0	4	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	002
H0544	019	0	1	02	01	H0544_019_0	4	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	150.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	001
H0544	019	0	1	02	01	H0544_019_0	4	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	002
H0544	020	0	1	02	01	H0544_020_0	4	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	150.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	001
H0544	020	0	1	02	01	H0544_020_0	4	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	002
H0544	056	0	1	02	01	H0544_056_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	150.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	001
H0544	056	0	1	02	01	H0544_056_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	002
H0544	058	0	1	02	01	H0544_058_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	150.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	001
H0544	058	0	1	02	01	H0544_058_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	002
H0544	061	0	1	02	01	H0544_061_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	150.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	001
H0544	061	0	1	02	01	H0544_061_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	002
H0544	062	0	1	02	01	H0544_062_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	150.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	001
H0544	062	0	1	02	01	H0544_062_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	002
H0544	063	0	1	02	01	H0544_063_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	150.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	001
H0544	063	0	1	02	01	H0544_063_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	002
H0544	064	0	1	02	01	H0544_064_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	150.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	001
H0544	064	0	1	02	01	H0544_064_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	002
H0544	065	0	1	02	01	H0544_065_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	150.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	001
H0544	065	0	1	02	01	H0544_065_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	002
H0544	066	0	1	02	01	H0544_066_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	150.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	001
H0544	066	0	1	02	01	H0544_066_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	002
H0544	069	0	1	02	01	H0544_069_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	150.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	001
H0544	069	0	1	02	01	H0544_069_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	002
H0544	095	0	1	02	01	H0544_095_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	150.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	001
H0544	095	0	1	02	01	H0544_095_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	002
H0544	096	0	1	02	01	H0544_096_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	150.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	001
H0544	096	0	1	02	01	H0544_096_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	002
H0544	098	0	1	02	01	H0544_098_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	150.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	001
H0544	098	0	1	02	01	H0544_098_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	002
H0544	108	0	1	02	01	H0544_108_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	150.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	001
H0544	108	0	1	02	01	H0544_108_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		1	001111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			2	2	002
H0630	013	0	1	01	01	H0630_013_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		2												2	2	001
H0630	015	0	1	02	01	H0630_015_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		2												2	2	001
H0630	016	0	1	02	01	H0630_016_0	6	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		2												2	2	001
H0630	017	0	1	01	01	H0630_017_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		2												2	2	001
H0630	020	0	1	01	01	H0630_020_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		2												2	2	001
H0630	021	0	1	02	01	H0630_021_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	200.00	3																		2												2		2												2	2	001
